id,name,sex,type,term_of_office,prior_role,after_role,party,medium_type,cabinet,medium,ministry
2d,Oliver Platzer,1,1,2007 bis jetzt,"1, 2, 6",NA,Union,"1, 2",NA,"SZ, Berliner Morgenpost, PNP, Lokalzeitungen",Innenministerium
3d,Florian Kraku,1,1,NA,NA,NA,NA,NA,NA,NA,Innenministerium
4d,Verena Gros,2,1,2020 bis jetzt,NA,NA,NA,NA,NA,NA,Innenministerium
5d,Anna-Magdalena Haßkerl,2,1,NA,NA,NA,NA,NA,NA,NA,Innenministerium
6d,Innenministerium,NA,2,NA,NA,NA,NA,NA,NA,NA,Innenministerium
7d,Simon Schmaußer,1,1,2020 bis jetzt,"2, 6",NA,Union,2,NA,"intv, Oberpfalz TV, TVA Ostbayern","Wohnen, Bau und Verkehr"
8d,Christian Wiesbacher,1,1,2019 bis jetzt,"2, 3",NA,NA,2,NA,"SAT1, N24","Wohnen, Bau und Verkehr"
9d,Tobias Nagler,1,1,2023 bis jetzt,"2, 3, 4, 5",NA,NA,2,NA,"Landshuter Zeitung, Verlag Die Abendzeitung GmbH & Co.KG","Wohnen, Bau und Verkehr"
10d,Johanna Meier,2,1,2024 bis jetzt,"5, 6",NA,NA,NA,NA,NA,"Wohnen, Bau und Verkehr"
11d,Daniela Schürf,2,1,2017 bis 2019,"4, 5, 6",6,NA,NA,NA,NA,"Wohnen, Bau und Verkehr"
12d,Kathrin Fändrich,2,1,2023 bis 2025,"5, 6",3,NA,NA,NA,NA,"Wohnen, Bau und Verkehr"
13d,Corinna Korn,2,1,2018 bis heute,"2, 4",NA,NA,2,NA,PNP,"Wohnen, Bau und Verkehr"
14d,Thomas Harant,1,1,NA,NA,NA,NA,NA,NA,NA,"Wohnen, Bau und Verkehr"
15d,Caroline Lang,2,1,NA,NA,NA,NA,NA,NA,NA,"Wohnen, Bau und Verkehr"
16d,Pinar Tiki,2,1,NA,NA,NA,NA,NA,NA,NA,"Wohnen, Bau und Verkehr"
17d,"Wohnen, Bau und Verkehr",NA,2,NA,NA,NA,NA,NA,NA,NA,"Wohnen, Bau und Verkehr"
18d,Dr. Andrea Leonhardt,2,1,2020 bis jetzt,"5, 6",NA,Union,NA,NA,NA,Justizministerium
19d,Dr. Thomas Pfeiffer,1,1,NA,NA,NA,NA,NA,NA,NA,Justizministerium
20d,Dr. Ingo Krist,1,1,NA,5,5,NA,NA,NA,NA,Justizministerium
21d,Dr. Philipp Linden,1,1,NA,NA,NA,NA,NA,NA,NA,Justizministerium
22d,Dr. Anja Hofmann,2,1,NA,NA,NA,NA,NA,NA,NA,Justizministerium
23d,Dr. Martin Bauer,1,1,2019 bis 2020,NA,NA,NA,NA,NA,NA,Justizministerium
24d,Ulrike Roider,2,1,2020 bis 2021,NA,NA,NA,NA,NA,NA,Justizministerium
25d,Justizministerium,NA,2,NA,NA,NA,NA,NA,NA,NA,Justizministerium
26d,Daniel Otto,1,1,2018 bis jetzt,"2, 5",NA,NA,2,NA,Münchner Merkur TZ,Kultusministerium
27d,Stephanie Neumeier,2,1,2022 bis jetzt,"1, 2, 3, 4, 6",NA,NA,"1, 2",NA,"BR, IHK Schwaben, Springer Fachmedien München",Kultusministerium
28d,Carolin Schackert,2,1,2024 bis jetzt,"3, 5",NA,NA,NA,NA,NA,Kultusministerium
29d,Tobias Baumann,1,1,2024 bis jetzt,5,NA,NA,NA,NA,NA,Kultusministerium
30d,Alexander Bayerle,1,1,2024 bis jetzt,"1, 5",NA,NA,1,NA,BR,Kultusministerium
31d,Diana Hessing,2,1,NA,NA,NA,NA,NA,NA,NA,Kultusministerium
32d,Kultusministerium,NA,2,NA,NA,NA,NA,NA,NA,NA,Kultusministerium
33d,Kathrin Ann Gallitz,2,1,2018 bis jetzt,"5, 6",NA,NA,NA,NA,NA,"Wissenschaft, Kunst"
34d,Michael Becker,1,1,2021 bis jetzt,"5, 2",NA,NA,2,NA,dpa,"Wissenschaft, Kunst"
35d,Christian Betz,1,1,2025 bis jetzt,"1, 2, 5",NA,NA,"1, 2",NA,"ZDF, SZ, BUNTE, 3Sat, Sat1, Focus TV","Wissenschaft, Kunst"
36d,Philipp Spörlein,1,1,2021 bis jetzt,5,NA,NA,NA,NA,NA,"Wissenschaft, Kunst"
37d,Helena Barsig,2,1,NA,NA,NA,NA,NA,NA,NA,"Wissenschaft, Kunst"
38d,"Wissenschaft, Kunst",NA,2,NA,NA,NA,NA,NA,NA,NA,"Wissenschaft, Kunst"
39d,Dennis Drescher,1,1,2020 bis jetzt,6,NA,NA,NA,NA,NA,Finanz und Heimat
40d,Marie-Therese Kummer,2,1,NA,NA,NA,NA,NA,NA,NA,Finanz und Heimat
41d,Wolfgang Zahn,1,1,2020 bis jetzt,"4, 5",NA,NA,NA,NA,NA,Finanz und Heimat
42d,Christina Fröhlich,2,1,NA,NA,NA,NA,NA,NA,NA,Finanz und Heimat
43d,Morena Brunner,2,1,NA,NA,NA,NA,NA,NA,NA,Finanz und Heimat
44d,Nicole Miller,2,1,NA,NA,NA,NA,NA,NA,NA,Finanz und Heimat
45d,Sandra Kendel,2,1,NA,NA,NA,NA,NA,NA,NA,Finanz und Heimat
46d,Dr. Stefanie Baur-Rückert,2,1,2017 bis 2019,"3, 4, 5, 6",5,NA,NA,NA,NA,Finanz und Heimat
48d,Finanz und Heimat,NA,2,NA,NA,NA,NA,NA,NA,NA,Finanz und Heimat
49d,Jürgen Marks,1,1,2019 bis jetzt,2,NA,NA,2,NA,"Augsburger Allgemeine, Focus Online, Focus Magazin, Die Welt, Berliner Morgenpost, Emder Zeitung","Wirtschaft, Landesentwicklung und Energie"
50d,Aaron Gottardi,1,1,2019 bis jetzt,"4, 5",NA,NA,NA,NA,NA,"Wirtschaft, Landesentwicklung und Energie"
51d,Dr. Aneta Ufert,2,1,2021 bis jetzt,"5, 6",NA,NA,NA,NA,NA,"Wirtschaft, Landesentwicklung und Energie"
52d,Tanja Gabler,2,1,2020 bis jetzt,"2, 4, 5",NA,NA,2,NA,"Internet World Business, Focus Digital, Münchner Merkur","Wirtschaft, Landesentwicklung und Energie"
53d,Franziska Meinl,2,1,2024 bis jetzt,4,NA,NA,NA,NA,NA,"Wirtschaft, Landesentwicklung und Energie"
54d,Bastian Brummer,1,1,2024 bis jetzt,"2, 5",NA,NA,2,NA,Mayer & Söhne Druck- und Mediengruppe GmbH & Co. KG,"Wirtschaft, Landesentwicklung und Energie"
55d,Katrin van Randenborgh,2,1,2014 bis 2018,"2, 6",4,NA,2,NA,Focus Magazin,"Wirtschaft, Landesentwicklung und Energie"
